end_rounds,n_players,result,winner,iter
3,3,set,B,1
9,3,set,B,2
15,3,set,C,3
27,3,set,B,4
22,3,set,C,5
9,3,set,B,6
23,3,set,A,7
11,3,set,C,8
6,3,set,C,9
12,3,set,C,10
15,3,set,B,11
13,3,set,C,12
5,3,set,A,13
4,3,set,A,14
3,3,set,A,15
3,3,set,B,16
11,3,set,A,17
9,3,set,A,18
17,3,set,B,19
16,3,tie,,20
1,3,tie,,21
10,3,set,C,22
3,3,set,B,23
7,3,set,B,24
8,3,set,C,25
3,3,set,C,26
7,3,set,B,27
42,3,set,B,28
10,3,set,C,29
3,3,set,A,30
9,3,set,A,31
31,3,set,B,32
9,3,set,B,33
22,3,set,B,34
23,3,set,C,35
4,3,set,B,36
3,3,set,A,37
15,3,set,A,38
14,3,set,C,39
10,3,set,C,40
10,3,set,C,41
9,3,set,C,42
4,3,set,C,43
4,3,set,A,44
5,3,set,C,45
23,3,set,C,46
11,3,set,B,47
4,3,set,C,48
23,3,set,B,49
4,3,set,A,50
47,3,set,A,51
14,3,set,C,52
7,3,set,B,53
8,3,set,C,54
16,3,set,B,55
13,3,tie,,56
2,3,set,B,57
25,3,set,B,58
12,3,set,C,59
9,3,set,B,60
2,3,tie,,61
6,3,set,B,62
7,3,set,B,63
26,3,set,B,64
4,3,set,C,65
9,3,set,A,66
2,3,set,A,67
6,3,tie,,68
7,3,set,B,69
4,3,set,A,70
7,3,set,B,71
9,3,set,A,72
8,3,set,C,73
6,3,set,B,74
14,3,tie,,75
3,3,set,B,76
4,3,set,B,77
4,3,set,C,78
11,3,set,B,79
7,3,set,A,80
7,3,set,A,81
10,3,set,A,82
5,3,set,A,83
2,3,set,C,84
14,3,set,A,85
21,3,set,C,86
9,3,set,B,87
11,3,tie,,88
11,3,set,C,89
24,3,set,B,90
14,3,set,B,91
27,3,set,B,92
23,3,set,A,93
16,3,set,B,94
6,3,set,C,95
4,3,set,A,96
4,3,set,C,97
10,3,set,A,98
21,3,set,A,99
3,3,set,C,100
9,3,tie,,101
3,3,set,B,102
9,3,set,A,103
3,3,set,A,104
5,3,set,B,105
1,3,tie,,106
5,3,set,A,107
31,3,set,B,108
6,3,set,B,109
3,3,set,C,110
10,3,tie,,111
14,3,set,B,112
31,3,tie,,113
4,3,tie,,114
8,3,set,B,115
26,3,set,C,116
8,3,set,A,117
4,3,set,B,118
10,3,set,B,119
5,3,set,B,120
5,3,set,A,121
7,3,set,A,122
3,3,set,B,123
19,3,set,A,124
5,3,set,B,125
7,3,set,B,126
11,3,set,A,127
4,3,set,C,128
49,3,set,C,129
6,3,set,B,130
7,3,set,C,131
15,3,set,B,132
16,3,tie,,133
13,3,set,A,134
21,3,set,A,135
19,3,set,B,136
9,3,set,C,137
5,3,set,C,138
23,3,set,A,139
6,3,set,B,140
21,3,set,C,141
3,3,set,C,142
4,3,set,A,143
31,3,set,B,144
7,3,tie,,145
8,3,set,C,146
48,3,tie,,147
6,3,set,A,148
22,3,set,A,149
41,3,tie,,150
11,3,set,B,151
18,3,set,B,152
1,3,tie,,153
46,3,set,A,154
3,3,tie,,155
22,3,set,C,156
8,3,tie,,157
16,3,set,B,158
13,3,tie,,159
4,3,set,B,160
13,3,set,B,161
10,3,set,A,162
4,3,set,A,163
3,3,set,B,164
9,3,set,B,165
4,3,set,C,166
4,3,set,A,167
9,3,tie,,168
7,3,set,B,169
5,3,set,B,170
4,3,set,A,171
25,3,set,B,172
8,3,set,B,173
20,3,set,A,174
7,3,tie,,175
5,3,set,A,176
7,3,set,A,177
18,3,tie,,178
